Date,Day Name
01-01-2021,Friday
02-01-2021,Saturday
03-01-2021,Sunday
04-01-2021,Monday
05-01-2021,Tuesday
06-01-2021,Wednesday
07-01-2021,Thursday
08-01-2021,Friday
09-01-2021,Saturday
10-01-2021,Sunday
11-01-2021,Monday
12-01-2021,Tuesday
13-01-2021,Wednesday
14-01-2021,Thursday
15-01-2021,Friday
16-01-2021,Saturday
17-01-2021,Sunday
18-01-2021,Monday
19-01-2021,Tuesday
20-01-2021,Wednesday
21-01-2021,Thursday
22-01-2021,Friday
23-01-2021,Saturday
24-01-2021,Sunday
25-01-2021,Monday
26-01-2021,Tuesday
27-01-2021,Wednesday
28-01-2021,Thursday
29-01-2021,Friday
30-01-2021,Saturday
31-01-2021,Sunday
01-02-2021,Monday
02-02-2021,Tuesday
03-02-2021,Wednesday
04-02-2021,Thursday
05-02-2021,Friday
06-02-2021,Saturday
07-02-2021,Sunday
08-02-2021,Monday
09-02-2021,Tuesday
10-02-2021,Wednesday
11-02-2021,Thursday
12-02-2021,Friday
13-02-2021,Saturday
14-02-2021,Sunday
15-02-2021,Monday
16-02-2021,Tuesday
17-02-2021,Wednesday
18-02-2021,Thursday
19-02-2021,Friday
20-02-2021,Saturday
21-02-2021,Sunday
22-02-2021,Monday
23-02-2021,Tuesday
24-02-2021,Wednesday
25-02-2021,Thursday
26-02-2021,Friday
27-02-2021,Saturday
28-02-2021,Sunday
01-03-2021,Monday
02-03-2021,Tuesday
03-03-2021,Wednesday
04-03-2021,Thursday
05-03-2021,Friday
06-03-2021,Saturday
07-03-2021,Sunday
08-03-2021,Monday
09-03-2021,Tuesday
10-03-2021,Wednesday
11-03-2021,Thursday
12-03-2021,Friday
13-03-2021,Saturday
14-03-2021,Sunday
15-03-2021,Monday
16-03-2021,Tuesday
17-03-2021,Wednesday
18-03-2021,Thursday
19-03-2021,Friday
20-03-2021,Saturday
21-03-2021,Sunday
22-03-2021,Monday
23-03-2021,Tuesday
24-03-2021,Wednesday
25-03-2021,Thursday
26-03-2021,Friday
27-03-2021,Saturday
28-03-2021,Sunday
29-03-2021,Monday
30-03-2021,Tuesday
31-03-2021,Wednesday
01-04-2021,Thursday
02-04-2021,Friday
03-04-2021,Saturday
04-04-2021,Sunday
05-04-2021,Monday
06-04-2021,Tuesday
07-04-2021,Wednesday
08-04-2021,Thursday
09-04-2021,Friday
10-04-2021,Saturday
11-04-2021,Sunday
12-04-2021,Monday
13-04-2021,Tuesday
14-04-2021,Wednesday
15-04-2021,Thursday
16-04-2021,Friday
17-04-2021,Saturday
18-04-2021,Sunday
19-04-2021,Monday
20-04-2021,Tuesday
21-04-2021,Wednesday
22-04-2021,Thursday
23-04-2021,Friday
24-04-2021,Saturday
25-04-2021,Sunday
26-04-2021,Monday
27-04-2021,Tuesday
28-04-2021,Wednesday
29-04-2021,Thursday
30-04-2021,Friday
01-05-2021,Saturday
02-05-2021,Sunday
03-05-2021,Monday
04-05-2021,Tuesday
05-05-2021,Wednesday
06-05-2021,Thursday
07-05-2021,Friday
08-05-2021,Saturday
09-05-2021,Sunday
10-05-2021,Monday
11-05-2021,Tuesday
12-05-2021,Wednesday
13-05-2021,Thursday
14-05-2021,Friday
15-05-2021,Saturday
16-05-2021,Sunday
17-05-2021,Monday
18-05-2021,Tuesday
19-05-2021,Wednesday
20-05-2021,Thursday
21-05-2021,Friday
22-05-2021,Saturday
23-05-2021,Sunday
24-05-2021,Monday
25-05-2021,Tuesday
26-05-2021,Wednesday
27-05-2021,Thursday
28-05-2021,Friday
29-05-2021,Saturday
30-05-2021,Sunday
31-05-2021,Monday
01-06-2021,Tuesday
02-06-2021,Wednesday
03-06-2021,Thursday
04-06-2021,Friday
05-06-2021,Saturday
06-06-2021,Sunday
07-06-2021,Monday
08-06-2021,Tuesday
09-06-2021,Wednesday
10-06-2021,Thursday
11-06-2021,Friday
12-06-2021,Saturday
13-06-2021,Sunday
14-06-2021,Monday
15-06-2021,Tuesday
16-06-2021,Wednesday
17-06-2021,Thursday
18-06-2021,Friday
19-06-2021,Saturday
20-06-2021,Sunday
21-06-2021,Monday
22-06-2021,Tuesday
23-06-2021,Wednesday
24-06-2021,Thursday
25-06-2021,Friday
26-06-2021,Saturday
27-06-2021,Sunday
28-06-2021,Monday
29-06-2021,Tuesday
30-06-2021,Wednesday
01-07-2021,Thursday
02-07-2021,Friday
03-07-2021,Saturday
04-07-2021,Sunday
05-07-2021,Monday
06-07-2021,Tuesday
07-07-2021,Wednesday
08-07-2021,Thursday
09-07-2021,Friday
10-07-2021,Saturday
11-07-2021,Sunday
12-07-2021,Monday
13-07-2021,Tuesday
14-07-2021,Wednesday
15-07-2021,Thursday
16-07-2021,Friday
17-07-2021,Saturday
18-07-2021,Sunday
19-07-2021,Monday
20-07-2021,Tuesday
21-07-2021,Wednesday
22-07-2021,Thursday
23-07-2021,Friday
24-07-2021,Saturday
25-07-2021,Sunday
26-07-2021,Monday
27-07-2021,Tuesday
28-07-2021,Wednesday
29-07-2021,Thursday
30-07-2021,Friday
31-07-2021,Saturday
01-08-2021,Sunday
02-08-2021,Monday
03-08-2021,Tuesday
04-08-2021,Wednesday
05-08-2021,Thursday
06-08-2021,Friday
07-08-2021,Saturday
08-08-2021,Sunday
09-08-2021,Monday
10-08-2021,Tuesday
11-08-2021,Wednesday
12-08-2021,Thursday
13-08-2021,Friday
14-08-2021,Saturday
15-08-2021,Sunday
16-08-2021,Monday
17-08-2021,Tuesday
18-08-2021,Wednesday
19-08-2021,Thursday
20-08-2021,Friday
21-08-2021,Saturday
22-08-2021,Sunday
23-08-2021,Monday
24-08-2021,Tuesday
25-08-2021,Wednesday
26-08-2021,Thursday
27-08-2021,Friday
28-08-2021,Saturday
29-08-2021,Sunday
